EVT_Code,N,Weibull_Lambda_Scale,Weibull_Kappa_Shape,Weibull_R2,Weibull_RMSE,CLASSNAME
3137,2189.0,0.745613,8.612923,0.991588,0.030457,Mediterranean California Subalpine Meadow
3138,1183095.0,0.824653,7.567721,0.996468,0.020643,North Pacific Montane Grassland
3139,3115866.0,0.728486,6.162368,0.991654,0.035901,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland
3140,842504.0,0.82779,7.284992,0.998807,0.011571,Northern Rocky Mountain Subalpine-Upper Montane Grassland
3141,3747047.0,0.664584,6.960683,0.990135,0.04308,Northwestern Great Plains Mixedgrass Prairie
3142,411942.0,0.646487,9.428351,0.988591,0.047665,Columbia Basin Palouse Prairie
3143,137.0,0.588245,6.638936,0.963033,0.057473,Rocky Mountain Alpine Fell-Field
3144,8635.0,0.642137,6.340822,0.973773,0.063448,Rocky Mountain Alpine Turf
3145,20964.0,0.6947269479309265,7.72491271171612,0.9389830646955004,0.02618056753245408,Rocky Mountain Subalpine-Montane Mesic Meadow
3146,69034.0,0.6974604957325546,8.69687354194212,0.9578031657130894,0.01932594107229889,Southern Rocky Mountain Montane-Subalpine Grassland
3147,50354.0,0.617524,9.916105,0.973647,0.066311,Western Great Plains Foothill and Piedmont Grassland
3148,615017.0,0.636359,9.430412,0.992204,0.039181,Western Great Plains Sand Prairie Grassland
3149,1813729.0,0.589646,10.752298,0.977393,0.070548,Western Great Plains Shortgrass Prairie
3151,2261.0,0.66973,9.111936,0.961438,0.066597,California Central Valley Riparian Forest and Woodland
3152,276460.0,0.70898,6.509724,0.983902,0.051572,California Montane Riparian Systems
3153,38791.0,0.5756845184951367,16.129030665115376,0.8992985159742899,0.06632005311538262,Inter-Mountain Basins Greasewood Flat
3154,375652.0,0.66248,8.380697,0.988518,0.04797,Inter-Mountain Basins Montane Riparian Forest and Woodland
3155,466189.0,0.631836,7.849353,0.975744,0.068138,North American Warm Desert Riparian Forest and Woodland
3156,6076.0,0.682704,6.613065,0.978298,0.05535,North Pacific Lowland Riparian Forest and Shrubland
3157,20906.0,0.713232,6.113748,0.959284,0.071748,North Pacific Swamp Systems
3158,32923.0,0.724286,5.854808,0.979846,0.05409,North Pacific Montane Riparian Woodland and Shrubland
3159,525598.0,0.676857,6.137937,0.983317,0.054851,Rocky Mountain Montane Riparian Forest and Woodland
3160,111071.0,0.667077,6.159486,0.987474,0.046296,Rocky Mountain Subalpine/Upper Montane Riparian Forest and Woodland
3161,70254.0,0.735789,5.897436,0.986618,0.044822,Northern Rocky Mountain Conifer Swamp
3162,190095.0,0.678106,7.055993,0.994047,0.032881,Western Great Plains Floodplain Forest and Woodland
3163,218.0,0.629798,10.246064,0.964269,0.057769,Pacific Coastal Marsh Systems
3164,6147.0,0.634853,5.686743,0.989987,0.036186,Rocky Mountain Wetland-Herbaceous
3165,20411.0,0.681354,7.854475,0.989143,0.041413,Northern Rocky Mountain Foothill Conifer Wooded Steppe
3166,434286.0,0.745417,5.894642,0.98425,0.048985,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland
3167,54318.0,0.764379,6.047857,0.986696,0.042681,Rocky Mountain Poor-Site Lodgepole Pine Forest
3168,330.0,0.696558,7.543604,0.945787,0.070042,Northern Rocky Mountain Avalanche Chute Shrubland
3169,201974.0,0.679781,7.236514,0.990576,0.041902,Northern Rocky Mountain Subalpine Deciduous Shrubland
3170,180.0,0.65026,10.618886,0.970976,0.053054,Klamath-Siskiyou Xeromorphic Serpentine Savanna and Chaparral
3171,97562.0,0.800742,6.516868,0.991432,0.032449,North Pacific Alpine and Subalpine Dry Grassland
3172,22820.0,0.740856,6.941702,0.989355,0.038774,Sierran-Intermontane Desert Western White Pine-White Fir Woodland
3173,9167.0,0.680733,7.345918,0.982115,0.049932,North Pacific Wooded Volcanic Flowage
3174,233259.0,0.779136,5.809551,0.97944,0.051865,North Pacific Dry-Mesic Silver Fir-Western Hemlock-Douglas-fir Forest
3177,28.0,0.634909,12.009026,0.964664,0.058164,California Coastal Closed-Cone Conifer Forest and Woodland
3178,3600.0,0.779,6.337798,0.979922,0.044969,North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest
3179,1097904.0,0.697527,7.912414,0.992839,0.036377,Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna
3180,31939.0,0.67067,7.222474,0.968198,0.068615,Introduced Riparian Forest and Woodland
3181,835342.0,0.661617546109389,14.35391367258655,0.9621858254355257,0.042967703278482865,Great Basin & Intermountain Introduced Annual Grassland
3182,108785.0,0.6803396236372385,10.948738567339975,0.9633683203523311,0.028237721996102565,Great Basin & Intermountain Introduced Perennial Grassland and Forbland
3183,344144.0,0.6440522348013037,13.151494938175533,0.9422036721317174,0.04798967608544826,Great Basin & Intermountain Introduced Annual and Biennial Forbland
