EVT_Code,N,Weibull_Lambda_Scale,Weibull_Kappa_Shape,Weibull_R2,Weibull_RMSE,CLASSNAME,source
3218,54587,0.606417,8.273922,0.967222,0.078276,North American Warm Desert Sparsely Vegetated Systems II,staley2018
3219,42636,0.621206,12.521193,0.987458,0.045114,Inter-Mountain Basins Sparsely Vegetated Systems II,staley2018
3220,2086094,0.660725,9.476563,0.995631,0.029526,Artemisia tridentata ssp. vaseyana Shrubland Alliance,staley2018
3221,32765,0.635607,7.104801,0.98842,0.043203,Mediterranean California Sparsely Vegetated Systems II,staley2018
3222,4493,0.659727,9.266706,0.984032,0.044669,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems II,staley2018
3227,4050491,0.753627,5.995462,0.988343,0.040709,Dry-mesic Montane Douglas-fir Forest,staley2018
3228,7725,0.732049,5.583948,0.960218,0.067907,Dry-mesic Montane Western Larch Forest,staley2018
3230,34863,0.70309,8.7159,0.992413,0.034778,Pinus sabiniana Woodland Alliance,staley2018
3231,188,0.716932,5.136423,0.833847,0.118305,Sequoiadendron giganteum Forest Alliance,staley2018
3232,75475,0.72652,5.783838,0.971896,0.062384,Abies grandis Forest Forest,staley2018
3233,246462,0.700166,6.080787,0.980076,0.057839,Subalpine Douglas-fir Forest,staley2018
3234,54079,0.691195,6.12919,0.978524,0.059043,Mesic Montane Douglas-fir Forest,staley2018
3235,345463,0.71877,6.103695,0.986842,0.046519,Xeric Montane Douglas-fir Forest,staley2018
3236,93,0.666756,6.089024,0.880646,0.102893,Subalpine Western Larch Forest,staley2018
3237,13,0.601816,10.005522,0.734595,0.155879,Mesic Montane Western Larch Forest,staley2018
3250,2046,0.609986,8.940577,0.86831,0.121962,Inter-Mountain Basins Curl-leaf Mountain Mahogany Shrubland,staley2018
3251,9121,0.647731,7.131933,0.947431,0.082804,Rocky Mountain Montane Riparian Shrubland,staley2018
3252,15513,0.692043,7.645254,0.993163,0.03131,Rocky Mountain Subalpine/Upper Montane Riparian Shrubland,staley2018
3253,806,0.705749,8.199177,0.98567,0.037295,Western Great Plains Floodplain Shrubland,staley2018
3254,1304,0.742317,6.129229,0.98857,0.033321,Western Great Plains Floodplain Herbaceous,staley2018
3255,2174,0.6797795779957311,8.42305815427113,0.9655412339416328,0.0276383512619745,Inter-Mountain Basins Montane Riparian Shrubland,nv_refit
3256,774948,0.615357,9.088341,0.976269,0.069973,Apacherian-Chihuahuan Semi-Desert Grassland,staley2018
3258,16419,0.704509,7.063811,0.964717,0.060409,North American Warm Desert Riparian Herbaceous,staley2018
3259,4510,0.739606,10.534496,0.995722,0.022283,Introduced Riparian Shrubland,staley2018
3260,1686,0.72415,9.594017,0.996467,0.019125,Mediterranean California Lower Montane Black Oak Forest and Woodland,staley2018
3261,1984,0.702588,6.960286,0.959278,0.062056,Mediterranean California Lower Montane Black Oak - Conifer Forest and Woodland,staley2018
3262,44,0.622804,14.867572,0.969645,0.055046,East Cascades Oak Forest and Woodland,staley2018
3263,21,0.631422,9.880709,0.784049,0.145144,East Cascades Oak - Ponderosa Pine Forest and Woodland,staley2018
3264,6431,0.657018,9.0444,0.97471,0.057609,California Lower Montane Blue Oak Forest and Woodland,staley2018
3265,9746,0.692772,9.006765,0.988009,0.039537,California Lower Montane Blue Oak-Foothill Pine Forest and Woodland,staley2018
3266,148,0.748238,6.186673,0.965607,0.054549,Oregon White Oak Woodland,staley2018
3267,299,0.705997,5.861149,0.926842,0.078436,Douglas-fir - Oregon White Oak Woodland,staley2018
3292,40031,0.606672,5.211508,0.991732,0.037666,Open Water,staley2018
3293,520,0.574769,6.370316,0.972979,0.051674,Snow-Ice,staley2018
3294,165991,0.592199,9.022155,0.974096,0.073191,Barren,staley2018
3295,1029,0.60247,8.099818,0.890361,0.109523,Quarries-Strip Mines-Gravel Pits,staley2018
3296,22886,0.680414,5.715173,0.960114,0.076269,Developed-Low Intensity,staley2018
3297,4686,0.670753,5.861445,0.930859,0.088497,Developed-Medium Intensity,staley2018
