fire,state,date,filename,url
0262-FERRY,OR,2025-07-04,0262-FERRY-OR-dNBR_20250704_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250704_235959.tif
0262-FERRY,OR,2025-07-05,0262-FERRY-OR-dNBR_20250705_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250705_235959.tif
0262-FERRY,OR,2025-07-06,0262-FERRY-OR-dNBR_20250706_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250706_235959.tif
0262-FERRY,OR,2025-07-07,0262-FERRY-OR-dNBR_20250707_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250707_235959.tif
0262-FERRY,OR,2025-07-08,0262-FERRY-OR-dNBR_20250708_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250708_235959.tif
0262-FERRY,OR,2025-07-09,0262-FERRY-OR-dNBR_20250709_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250709_235959.tif
0262-FERRY,OR,2025-07-10,0262-FERRY-OR-dNBR_20250710_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250710_235959.tif
0262-FERRY,OR,2025-07-12,0262-FERRY-OR-dNBR_20250712_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250712_235959.tif
0262-FERRY,OR,2025-07-13,0262-FERRY-OR-dNBR_20250713_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250713_235959.tif
0262-FERRY,OR,2025-07-14,0262-FERRY-OR-dNBR_20250714_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250714_235959.tif
0262-FERRY,OR,2025-07-15,0262-FERRY-OR-dNBR_20250715_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250715_235959.tif
0262-FERRY,OR,2025-07-16,0262-FERRY-OR-dNBR_20250716_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250716_235959.tif
0262-FERRY,OR,2025-07-17,0262-FERRY-OR-dNBR_20250717_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250717_235959.tif
0262-FERRY,OR,2025-07-18,0262-FERRY-OR-dNBR_20250718_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250718_235959.tif
0262-FERRY,OR,2025-07-19,0262-FERRY-OR-dNBR_20250719_235959.tif,https://bin.ssec.wisc.edu/pub/realearth/brisk/2025/0262-FERRY-OR-dNBR_20250719_235959.tif
